fantesca,0,1,0,0,0,1,1,1,0,3,1,13,2,0,0,0,0,0,1,1,0,0,2,0,1,1,3,0,0,1,1,8,3,4,9,2,0,0,0,0,0,2,11,0,2,0,5,0,0,1,0,11,3,0,0,0
inviato,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0
archeologo,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
regina,1,12,4,2,0,0,0,4,4,0,1,1,1,2,3,7,1,7,2,71,4,6,2,10,1,4,7,8,0,1,0,14,6,6,12,0,0,1,146,1,2,1,41,5,4,0,18,3,4,0,4,0,0,4,0,0
educatore,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
lavorante,1,1,0,0,0,0,0,4,0,4,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
filosofo,2,1,0,1,0,1,1,2,9,2,7,6,3,1,1,0,0,1,0,3,53,3,0,1,0,0,5,1,1,0,0,4,0,12,35,2,0,1,0,0,1,0,18,9,9,4,22,2,1,1,0,2,0,0,0,0
precettore,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,11,0,0,2,6,0,0,0,0,0,0,0,0,0
servitore,0,2,7,0,0,6,1,12,4,9,1,5,15,1,4,3,0,1,30,10,13,3,14,3,0,1,37,15,1,6,3,22,2,8,23,1,0,44,5,0,1,0,23,2,3,0,64,29,2,11,1,0,1,0,0,1
cavaliere,0,2,5,1,12,21,2,3,22,138,21,5,29,0,2,2,23,2,0,86,1,53,93,49,31,9,20,8,0,3,2,35,12,112,250,3,3,31,11,0,1,9,34,7,8,14,75,11,8,1,0,3,0,0,0,5
imperatore,0,1,2,0,20,0,0,2,0,2,0,1,3,0,0,4,3,1,2,9,1,2,2,2,0,0,4,3,0,1,1,8,4,85,31,0,0,6,15,0,0,2,20,1,12,3,54,1,1,3,0,1,0,3,0,0
governante,0,0,1,0,0,1,0,1,1,1,2,0,0,0,2,0,2,0,76,3,1,5,3,27,2,0,4,0,0,1,1,7,3,1,2,10,1,0,1,1,0,1,9,1,0,5,11,2,1,0,3,0,1,0,0,0
giornalaio,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pittore,7,0,7,0,0,63,0,16,5,3,0,1,16,1,0,1,5,1,5,0,0,1,1,0,2,0,1,0,0,3,2,17,3,3,13,10,0,1,2,1,0,0,2,2,1,11,57,3,5,0,0,1,3,0,0,1
lettore,0,0,5,1,1,2,1,6,25,0,5,14,8,0,0,0,3,0,1,8,1,8,9,2,0,1,2,1,1,12,0,16,26,16,60,1,9,54,22,0,3,0,17,5,19,1,226,0,18,39,1,0,0,1,0,0
sguattero,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spazzino,1,2,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
giudice,2,7,7,1,0,7,3,1,6,61,0,0,6,15,1,1,3,2,8,17,7,45,27,10,0,13,6,7,0,0,2,7,1,26,72,0,2,7,100,0,0,1,30,5,4,0,134,3,14,5,0,5,1,4,0,0
spia,0,12,4,0,0,0,0,1,0,6,0,13,6,0,0,0,4,0,0,9,3,0,10,2,0,14,2,15,0,3,0,1,24,5,20,0,0,7,1,0,0,0,8,0,3,2,9,0,4,11,0,0,2,0,0,2
storico,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,15,7,0,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0
pasticciere,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
vetturino,1,0,2,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0
diplomatico,1,0,3,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,15,2,0,0,0,0,2,0
re,0,36,6,15,6,6,3,6,21,12,3,114,9,0,3,45,21,39,54,231,9,39,15,105,15,15,9,21,0,0,18,75,30,273,390,3,0,84,489,3,0,0,438,24,102,9,267,18,96,66,12,0,3,18,0,0
conquistatore,1,1,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,3,0,0,1,0,2,0,1,0,3,1,0,1,1,4,5,2,2,1,0,3,2,0,0,0,5,1,0,0,1,2,1,1,0,0,0,0,0,0
sartore,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
guardiano,0,1,0,1,0,0,10,1,0,2,0,0,0,0,2,0,0,1,0,3,0,1,1,7,4,5,0,2,0,0,0,4,1,1,8,1,0,22,0,0,0,0,17,0,0,0,2,0,0,1,0,0,0,1,0,0
battelliere,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
banchiere,0,0,0,1,0,31,0,0,0,6,1,0,2,0,1,0,0,1,1,2,2,2,0,3,0,0,8,20,0,0,0,4,0,0,6,0,10,0,4,1,0,0,6,0,6,0,23,1,0,0,0,0,0,0,0,0
commessa,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
oratore,0,0,0,1,0,1,0,4,3,7,0,2,1,0,0,2,0,0,0,2,0,0,22,3,0,0,5,0,0,0,4,4,0,25,27,0,0,2,0,0,0,1,9,4,19,0,6,0,2,0,0,1,0,0,0,0
